FaunalSpeciesID	PhaseID	TaxonCode	NISP	SpeciesNote	AgeCriteriaBF	AgeCriteriaDA	AgeCriteriaDE	AgeNote	AgeTrend	HorncoreNote	HorncoreShape	Pathology	PathologyNote	PresenceOfFoetals	PresenceOnly	SexCriteriaME	SexCriteriaMO	SexNote	SexTrend	CitationID	time_added	user_added	time_last_update	user_last_update
FS2003357	CHITI1	piscind	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003358	CHITI1	emysorb	4	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003359	CHITI1	avesind	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003360	CHITI1	bostaur	217	\N	\N	\N	\N	mostly adults	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2025-03-24 12:32:58	adrian@localhost
FS2003361	CHITI1	ovisari	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2025-03-24 12:32:58	adrian@localhost
FS2003362	CHITI1	caprhir	6	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2025-03-24 12:32:58	adrian@localhost
FS2003363	CHITI1	oviscap	69	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2025-03-24 12:32:58	adrian@localhost
FS2003364	CHITI1	susscrd	24	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2025-03-24 12:32:58	adrian@localhost
FS2003365	CHITI1	canifam	8	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003366	CHITI1	lepueur	2	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003367	CHITI1	martmar	5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003368	CHITI1	lutrlut	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003369	CHITI1	susscrf	45	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003370	CHITI1	equufer	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003371	CHITI1	cervela	68	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003372	CHITI1	caprcap	26	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003373	CHITI1	bosprim	8	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003374	CHITI1	boscerv	8	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003375	CHITI1	ovcapcap	29	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003376	CHITI1	susspec	27	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS2003377	CHITI1	mammind	1221	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2022-05-02 14:32:30	jelena@localhost
FS1630950	FRIE2	ovisari	24	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630951	FRIE2	oviscap	355	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630952	FRIE2	caprhir	32	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630953	FRIE2	bostaur	2673	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630954	FRIE2	susscrd	929	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630955	FRIE2	canifam	151	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630956	FRIE2	equufer	37	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630957	FRIE2	bisobon	11	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630958	FRIE2	bosprim	1401	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630959	FRIE2	caprcap	624	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630960	FRIE2	cervela	1647	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630961	FRIE2	susscrf	816	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630962	FRIE2	felisil	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630963	FRIE2	lutrlut	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630964	FRIE2	melemel	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630965	FRIE2	martmar	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630966	FRIE2	ursuarc	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630967	FRIE2	vulpvul	10	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630968	FRIE2	canilup	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630969	FRIE2	castfib	127	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630970	FRIE2	sciuvul	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630971	FRIE2	lepueur	42	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630972	FRIE2	erinspe	5	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630973	FRIE2	cygncyg	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630974	FRIE2	tetrtet	8	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630975	FRIE2	colupal	5	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630976	FRIE2	asiootu	3	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630977	FRIE2	strialu	4	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630978	FRIE2	turdmer	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630979	FRIE2	garrgla	4	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630980	FRIE2	corvcor	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
