GraveID	GraveName	PhaseID	GraveDepth	HumanMNI	CitationID	ItemID	notes	time_added	user_added	time_last_update	user_last_update
G05784	Tamula X	TAMU1	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05788	Tamula XIV	TAMU1	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05792	Tamula XVIII	TAMU1	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05793	Tamula XIX	TAMU1	\N	2	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05795	Tamula XXI	TAMU1	\N	2	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05796	Tamula XXII	TAMU1	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05797	Tamula XXIII	TAMU1	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05780	Tamula VI	TAMU2	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05785	Tamula XI	TAMU2	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05776	Tamula II	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05778	Tamula IV	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05779	Tamula V	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05786	Tamula XII	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05787	Tamula XIII	TAMU3	\N	2	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05789	Tamula XV	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05790	Tamula XVI	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05791	Tamula XVII	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05794	Tamula XX	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05798	Tamula XXIV	TAMU3	\N	2	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05799	Tamula XXV	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05800	Tamula (year 1956)	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05801	Tamula (year 1961)	TAMU3	\N	1	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G05802	Tamula (year 2007)	TAMU3	\N	2	tõrv2016a	\N	\N	\N	\N	2022-05-24 11:34:24	robert@localhost
G06022	Grave 4	PRMIS1	15	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06023	Grave 13	PRMIS1	31	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06024	Grave 29	PRMIS1	50	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06025	Grave 39	PRMIS1	23	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
G06026	Grave 40	PRMIS1	30	1	ernée2015a	\N	\N	\N	\N	2022-06-20 11:06:28	robert@localhost
